run,id,freq,s11,s12,x,y,z,note
1,1,1000000000,-1.14590704441071,-56.3402061462402,0,0,0,2023_05_11_02 -
1,1,1041666666.66667,-1.47169029712677,-53.2215805053711,0,0,0,2023_05_11_02 -
1,1,1083333333.33333,-1.51092350482941,-50.0403480529785,0,0,0,2023_05_11_02 -
1,1,1125000000,-1.276003241539,-50.2382354736328,0,0,0,2023_05_11_02 -
1,1,1166666666.66667,-1.35899996757507,-47.1023635864258,0,0,0,2023_05_11_02 -
1,1,1208333333.33333,-1.72518599033356,-44.5427207946777,0,0,0,2023_05_11_02 -
1,1,1250000000,-1.75058829784393,-44.4759330749512,0,0,0,2023_05_11_02 -
1,1,1291666666.66667,-3.16649198532104,-46.7278709411621,0,0,0,2023_05_11_02 -
1,1,1333333333.33333,-1.97898888587952,-40.9553871154785,0,0,0,2023_05_11_02 -
1,1,1375000000,-4.97428941726685,-35.6821746826172,0,0,0,2023_05_11_02 -
1,1,1416666666.66667,-3.58100008964539,-45.8046836853027,0,0,0,2023_05_11_02 -
1,1,1458333333.33333,-1.84906685352325,-46.1079788208008,0,0,0,2023_05_11_02 -
1,1,1500000000,-2.17147588729858,-39.827880859375,0,0,0,2023_05_11_02 -
1,1,1541666666.66667,-3.5051155090332,-34.6956405639648,0,0,0,2023_05_11_02 -
1,1,1583333333.33333,-13.0344314575195,-31.39235496521,0,0,0,2023_05_11_02 -
1,1,1625000000,-3.16675591468811,-39.9002075195313,0,0,0,2023_05_11_02 -
1,1,1666666666.66667,-2.19229984283447,-52.8445777893066,0,0,0,2023_05_11_02 -
1,1,1708333333.33333,-2.38695359230042,-47.890552520752,0,0,0,2023_05_11_02 -
1,1,1750000000,-2.27569317817688,-41.4241485595703,0,0,0,2023_05_11_02 -
1,1,1791666666.66667,-2.43742895126343,-36.5984191894531,0,0,0,2023_05_11_02 -
1,1,1833333333.33333,-4.68389320373535,-32.2541122436523,0,0,0,2023_05_11_02 -
1,1,1875000000,-8.38201808929443,-30.1688346862793,0,0,0,2023_05_11_02 -
1,1,1916666666.66667,-5.1490273475647,-32.895263671875,0,0,0,2023_05_11_02 -
1,1,1958333333.33333,-2.99372982978821,-39.3630714416504,0,0,0,2023_05_11_02 -
1,1,2000000000,-2.22487187385559,-44.9650039672852,0,0,0,2023_05_11_02 -
1,1,2041666666.66667,-2.40785384178162,-51.9196281433105,0,0,0,2023_05_11_02 -
1,1,2083333333.33333,-2.72063732147217,-51.9184379577637,0,0,0,2023_05_11_02 -
1,1,2125000000,-2.33915948867798,-44.750617980957,0,0,0,2023_05_11_02 -
1,1,2166666666.66667,-2.3232409954071,-40.5613708496094,0,0,0,2023_05_11_02 -
1,1,2208333333.33333,-3.43066906929016,-38.2251968383789,0,0,0,2023_05_11_02 -
1,1,2250000000,-4.95754480361938,-35.5942420959473,0,0,0,2023_05_11_02 -
1,1,2291666666.66667,-7.36550664901733,-34.0898094177246,0,0,0,2023_05_11_02 -
1,1,2333333333.33333,-8.83228397369385,-36.4982070922852,0,0,0,2023_05_11_02 -
1,1,2375000000,-5.99765634536743,-41.5233573913574,0,0,0,2023_05_11_02 -
1,1,2416666666.66667,-5.30882978439331,-40.0085487365723,0,0,0,2023_05_11_02 -
1,1,2458333333.33333,-3.34757590293884,-38.5967674255371,0,0,0,2023_05_11_02 -
1,1,2500000000,-3.0938241481781,-36.1200942993164,0,0,0,2023_05_11_02 -
